Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;50;1.000000
0;0:0;0;0;0;0;50;0.000000
49;0:49;42;0;11;60;50;1.000000
94;1:35;41;0;11;45;50;1.200000
143;2:25;42;0;11;40;50;1.200000
201;3:24;41;0;11;40;50;1.200000
292;4:56;43;0;11;45;50;1.200000
354;5:59;43;0;11;45;50;1.200000
409;6:55;42;0;11;45;50;1.200000
484;8:12;41;0;11;45;50;1.200000
547;9:16;42;0;11;45;50;1.200000
615;10:25;38;0;11;50;50;1.000000
649;10:59;27;0;11;45;50;1.200000
658;11:9;8;0;11;45;50;1.200000
671;11:22;12;0;11;50;50;1.000000
680;11:31;8;0;11;40;50;1.200000
696;11:47;15;0;11;50;50;1.100000
735;12:27;34;0;11;45;50;1.200000
780;13:13;42;0;11;45;50;1.100000
836;14:10;39;0;11;45;50;1.100000
879;14:53;40;0;11;45;50;1.200000
922;15:37;40;0;11;55;50;1.000000
967;16:23;41;0;11;55;50;1.000000
1016;17:13;42;0;11;55;50;1.000000
1065;18:3;42;0;11;55;50;1.000000
1110;18:48;41;0;11;55;50;1.000000
1162;19:41;42;0;11;45;50;1.200000
1214;20:34;41;0;11;45;50;1.100000
1370;23:13;42;0;11;45;50;1.200000
1432;0:16;41;0;11;45;50;1.200000
1518;1:43;43;0;11;45;50;1.200000
1571;2:37;42;0;11;45;50;1.200000
1649;3:56;43;0;11;45;50;1.200000
1708;4:56;42;0;11;40;50;1.200000
1768;5:57;43;0;11;40;50;1.200000
1857;7:28;43;0;11;40;50;1.200000
1936;8:48;44;0;11;40;50;1.200000
1993;9:46;44;0;11;40;50;1.200000
2057;10:51;43;0;11;55;50;1.000000
2115;11:50;44;0;11;40;50;1.200000
2168;12:44;44;0;11;55;50;1.000000
2214;13:31;42;0;11;40;50;1.200000
2278;14:36;40;0;11;55;50;1.000000
2321;15:20;40;0;11;55;50;1.000000
2375;16:15;40;0;11;55;50;1.000000
2421;17:2;42;0;11;55;50;1.000000
2467;17:48;43;0;11;55;50;1.000000
2520;18:42;42;0;11;55;50;1.000000
2574;19:37;43;0;11;45;50;1.100000
2620;20:24;43;0;11;40;50;1.200000
2694;21:39;42;0;11;40;50;1.200000
2794;23:21;43;0;11;40;50;1.200000
2846;0:14;41;0;11;40;50;1.200000
2899;1:8;42;0;11;40;50;1.200000
2953;2:3;43;0;11;40;50;1.200000
3070;4:2;42;0;11;40;50;1.200000
3160;5:33;43;0;11;40;50;1.200000
3210;6:24;42;0;11;40;50;1.200000
3263;7:18;42;0;11;40;50;1.200000
3351;8:47;41;0;11;40;50;1.200000
3395;9:32;40;0;11;40;50;1.200000
3454;10:32;42;0;11;55;50;1.000000
3502;11:21;41;0;11;40;50;1.200000
3548;12:8;42;0;11;40;50;1.200000
3595;12:55;43;0;11;55;50;1.000000
3662;14:4;43;0;11;55;50;1.000000
3709;14:51;44;0;11;40;50;1.200000
3758;15:41;42;0;11;55;50;1.000000
3804;16:28;42;0;11;55;50;1.000000
3858;17:23;43;0;11;55;50;1.000000
3904;18:10;43;0;11;55;50;1.000000
3957;19:4;42;0;11;55;50;1.000000
4004;19:51;43;0;11;40;50;1.200000
4050;20:38;42;0;11;40;50;1.200000
4096;21:25;43;0;11;40;50;1.200000
4142;22:12;43;0;11;40;50;1.200000
4213;23:24;42;0;11;40;50;1.200000
4327;1:20;42;0;11;40;50;1.200000
4388;2:22;40;0;11;40;50;1.200000
4453;3:28;41;0;11;40;50;1.200000
4543;5:0;43;0;11;40;50;1.200000
4607;6:5;42;0;11;40;50;1.200000
4676;7:15;43;0;11;45;50;1.100000
4761;8:41;42;0;11;40;50;1.200000
4807;9:28;42;0;11;40;50;1.200000
4853;10:15;42;0;11;45;50;1.100000
4899;11:2;42;0;11;40;50;1.200000
4956;12:0;42;0;11;40;50;1.200000
5003;12:47;44;0;11;55;50;1.000000
5048;13:33;42;0;11;40;50;1.200000
5098;14:24;42;0;11;55;50;1.000000
5145;15:12;43;0;11;55;50;1.000000
5205;16:13;42;0;11;55;50;1.000000
5262;17:11;42;0;11;55;50;1.000000
5316;18:6;43;0;11;55;50;1.000000
5366;18:56;43;0;11;55;50;1.000000
5418;19:49;42;0;11;40;50;1.200000
5468;20:40;40;0;11;40;50;1.200000
5522;21:35;40;0;11;40;50;1.200000
5671;0:7;42;0;11;40;50;1.200000
5813;2:31;42;0;11;40;50;1.200000
5874;3:33;43;0;11;40;50;1.200000
6073;6:55;43;0;11;40;50;1.200000
6133;7:56;42;0;11;55;50;1.000000
6180;8:44;44;0;11;40;50;1.200000
6226;9:31;43;0;11;40;50;1.200000
6275;10:21;42;0;11;40;50;1.200000
6329;11:16;43;0;11;55;50;1.000000
6382;12:10;42;0;11;40;50;1.200000
6432;13:1;43;0;11;45;50;1.100000
6477;13:46;42;0;11;40;50;1.200000
6534;14:44;41;0;11;55;50;1.000000
6585;15:36;40;0;11;55;50;1.000000
6630;16:22;41;0;11;55;50;1.000000
6678;17:11;41;0;11;55;50;1.000000
6724;17:57;43;0;11;55;50;1.000000
6770;18:44;44;0;11;55;50;1.000000
6816;19:31;43;0;11;40;50;1.200000
6868;20:24;42;0;11;40;50;1.200000
6998;22:36;41;0;11;40;50;1.200000
7046;23:25;41;0;11;40;50;1.200000
7113;0:33;42;0;11;40;50;1.200000
7188;1:49;43;0;11;40;50;1.200000
7340;4:24;42;0;11;40;50;1.200000
7408;5:33;43;0;11;40;50;1.200000
7573;8:21;40;0;11;55;50;1.000000
7617;9:6;40;0;11;40;50;1.200000
7672;10:2;41;0;11;40;50;1.200000
7722;10:52;43;0;11;55;50;1.000000
7771;11:42;42;0;11;40;50;1.200000
7817;12:29;42;0;11;40;50;1.200000
7867;13:20;43;0;11;55;50;1.000000
7916;14:10;42;0;11;45;50;1.100000
7966;15:1;43;0;11;45;50;1.200000
8019;15:54;42;0;11;60;50;1.000000
8067;16:43;42;0;11;60;50;1.000000
8129;17:46;42;0;11;60;50;1.000000
8177;18:35;41;0;11;60;50;1.000000
8222;19:21;41;0;11;40;50;1.200000
8275;20:15;42;0;11;40;50;1.200000
8389;22:11;43;0;11;40;50;1.200000
8451;23:14;41;0;11;40;50;1.200000
8547;0:51;41;0;11;45;50;1.200000
8639;2:25;41;0;11;45;50;1.200000
8702;3:29;42;0;11;45;50;1.200000
8794;5:3;42;0;11;45;50;1.200000
8855;6:5;43;0;11;45;50;1.200000
8934;7:25;43;0;11;45;50;1.200000
8997;8:29;42;0;11;60;50;1.000000
9046;9:19;42;0;11;45;50;1.200000
9096;10:10;42;0;11;45;50;1.200000
9149;11:4;42;0;11;45;50;1.200000
9214;12:10;43;0;11;60;50;1.000000
9260;12:56;43;0;11;45;50;1.200000
9314;13:51;44;0;11;60;50;1.000000
9367;14:45;43;0;11;45;50;1.200000
9413;15:32;43;0;11;60;50;1.000000
9459;16:19;42;0;11;60;50;1.000000
9512;17:13;42;0;11;60;50;1.000000
9558;18:0;42;0;11;60;50;1.000000
9608;18:50;43;0;11;60;50;1.000000
9651;19:34;40;0;11;45;50;1.200000
9705;20:29;40;0;11;45;50;1.200000
9785;21:50;44;0;11;45;50;1.200000
9844;22:50;43;0;11;45;50;1.200000
9890;23:37;43;0;11;45;50;1.200000
9968;0:56;43;0;11;45;50;1.200000
10085;2:55;43;0;11;45;50;1.200000
10148;4:0;42;0;11;45;50;1.200000
10240;5:33;42;0;11;45;50;1.200000
10429;8:45;44;0;11;60;50;1.000000
10475;9:32;43;0;11;45;50;1.200000
10524;10:22;42;0;11;45;50;1.200000
10571;11:10;43;0;11;45;50;1.200000
10620;12:0;42;0;11;55;50;1.000000
10666;12:46;42;0;11;45;50;1.200000
10713;13:34;40;0;11;55;50;1.000000
10760;14:22;40;0;11;40;50;1.200000
10826;15:29;42;0;11;55;50;1.000000
10875;16:19;42;0;11;55;50;1.000000
10921;17:6;42;0;11;55;50;1.000000
10972;17:57;44;0;11;55;50;1.000000
11017;18:43;43;0;11;55;50;1.000000
11070;19:37;42;0;11;55;50;1.000000
11119;20:27;42;0;11;40;50;1.200000
11211;22:1;42;0;11;40;50;1.200000
11258;22:48;43;0;11;40;50;1.200000
11303;23:34;42;0;11;40;50;1.200000
11405;1:18;42;0;11;40;50;1.200000
11487;2:41;42;0;11;40;50;1.200000
11577;4:13;42;0;11;40;50;1.200000
11626;5:3;42;0;11;40;50;1.200000
11755;7:14;40;0;11;40;50;1.200000
11801;8:1;39;0;11;40;50;1.200000
11849;8:49;39;0;11;40;50;1.200000
11866;9:7;13;0;11;40;50;1.200000
11881;9:22;14;0;11;45;50;1.200000
11891;9:32;10;0;11;40;50;1.200000
11924;10:6;30;0;11;55;50;1.000000
11969;10:51;42;0;11;45;50;1.200000
12019;11:42;43;0;11;45;50;1.200000
12068;12:32;42;0;11;55;50;1.000000
12125;13:30;42;0;11;45;50;1.200000
12171;14:17;42;0;11;55;50;1.000000
12221;15:8;42;0;11;55;50;1.000000
12268;15:55;44;0;11;55;50;1.000000
12314;16:42;43;0;11;55;50;1.000000
12361;17:30;43;0;11;55;50;1.000000
12411;18:21;42;0;11;55;50;1.000000
12457;19:8;42;0;11;45;50;1.200000
12511;20:3;43;0;11;45;50;1.200000
12576;21:9;43;0;11;45;50;1.200000
12641;22:15;36;0;11;40;50;1.200000
12668;22:42;23;0;11;45;50;1.200000
12717;23:32;40;0;11;45;50;1.200000
12778;0:34;41;0;11;45;50;1.200000
12892;2:30;42;0;11;45;50;1.200000
12966;3:45;43;0;11;45;50;1.200000
13046;5:7;42;0;11;45;50;1.200000
