ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000;
3;0.000000;0.000000;510.000000;0.000000;0;0.000000;
7;0.000000;0.000000;510.000000;1.455000;1;0.824500;gr_sensing_TC_con01,
11;0.000000;0.060000;509.940000;1.455000;1;0.824500;gr_sensing_TC_con01,
14;0.000000;0.060000;509.880000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
18;0.000000;0.090000;509.790000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
21;0.000000;0.090000;509.700000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
24;0.000000;0.090000;509.610000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
28;0.000000;0.090000;509.520000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
31;0.000000;0.090000;509.430000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
35;0.000000;0.090000;509.340000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
38;0.000000;0.090000;509.250000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
42;0.000000;0.090000;509.160000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
46;0.000000;0.090000;509.070000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
49;0.000000;0.090000;508.980000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
53;0.000000;0.090000;508.890000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
56;0.000000;0.090000;508.800000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
59;0.000000;0.090000;508.710000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
62;0.000000;0.090000;508.620000;3.237000;2;1.604482;gr_sensing_TC_con01,gr_sensing_SM_con03,
