;I_bat;I_in;V_bat;V_in;P_in;P_bat;E_in;E_bat;0
2019-06-18 19:20:00;1.1236599999999998e-07;-3.7913038947368415e-06;4.200511358763158;1.0559691310000001;4.003653825926154e-06;4.71994148587713e-07;;;
2019-06-18 19:25:00;-1.1823633779264212e-07;-3.169994635451505e-06;4.200564957056856;0.8809699333846154;2.820209125360889e-06;-4.966605193127745e-07;;;
2019-06-18 19:30:00;-6.017422742474916e-07;-2.0736261103678927e-06;4.20059973267893;0.5527080481772575;1.173498528845128e-06;-2.527679130419385e-06;;;
2019-06-18 19:35:00;-5.608302775919731e-07;-1.3293822508361203e-06;4.200613900772575;0.1915254120334448;2.7207955489001374e-07;-2.3558313966193076e-06;;;
2019-06-18 19:40:00;-5.645834648829431e-07;-8.46175304347826e-07;4.20063113090301;0.0564094336722408;4.75031689376518e-08;-2.3716068347824957e-06;;;
2019-06-18 19:45:00;-5.511994949832775e-07;-5.138370869565217e-07;4.200632623983277;0.05044267051839465;2.6065613958629855e-08;-2.3153866151049878e-06;;;
2019-06-18 19:50:00;-5.351604013377926e-07;-3.1980689632107024e-07;4.20062484064883;0.045533464444816055;1.4614739845201546e-08;-2.248008139615981e-06;;;
2019-06-18 19:55:00;-5.300281839464882e-07;-2.1784416053511703e-07;4.200622838073579;0.052121871257525085;1.116214248235328e-08;-2.2264484801244017e-06;;;
2019-06-18 20:00:00;-5.374858361204013e-07;-1.6806302675585284e-07;4.2006334814314386;0.06419528655852844;1.0777924587610705e-08;-2.2577809895282192e-06;;;
2019-06-18 20:05:00;-5.352936254180601e-07;-1.440031973244147e-07;4.200645875073579;0.06384795516722408;9.18792683688192e-09;-2.2485788839703475e-06;;;
2019-06-18 20:10:00;-5.360097449664429e-07;-1.3189488255033554e-07;4.200660892771812;0.06369200486577181;8.397510023306432e-09;-2.2515952660331454e-06;;;
2019-06-18 20:15:00;-5.351833511705685e-07;-1.2561511036789296e-07;4.200663978354515;0.06356241251170569;7.979448326675659e-09;-2.2481255138462637e-06;;;
2019-06-18 20:20:00;-5.372117859531772e-07;-1.20150635451505e-07;4.200673154996656;0.06330420314046822;7.598529367541621e-09;-2.2566511676300345e-06;;;
2019-06-18 20:25:00;-5.331140167224081e-07;-1.1703116053511706e-07;4.2006816440869565;0.06339586063879599;7.414165911437405e-09;-2.239442312889278e-06;;;
2019-06-18 20:30:00;-5.316006822742474e-07;-1.1551216387959864e-07;4.200683234033445;0.06319438844481606;7.2931166775815926e-09;-2.2330860639310694e-06;;;
2019-06-18 20:35:00;-5.349043913043477e-07;-1.1560210033444815e-07;4.200678695846154;0.06333264475585285;7.315241680054154e-09;-2.246961489175373e-06;;;
2019-06-18 20:40:00;-5.341878428093645e-07;-1.1677049498327759e-07;4.200681104491639;0.06323266586287625;7.376155751183619e-09;-2.2439528234335272e-06;;;
2019-06-18 20:45:00;-5.302867290969899e-07;-1.1590961204013378e-07;4.200679609568562;0.06304446218394649;7.298358838923176e-09;-2.2275645995149038e-06;;;
2019-06-18 20:50:00;-5.324023712374582e-07;-1.1664901672240803e-07;4.200694868140468;0.06328057001337793;7.36121426775079e-09;-2.2364598706770563e-06;;;
2019-06-18 20:55:00;-5.341311036789297e-07;-1.1565369230769231e-07;4.200695725307693;0.06315498001337794;7.29711781265415e-09;-2.243722236372057e-06;;;
2019-06-18 21:00:00;-5.334557959866221e-07;-1.1592321404682273e-07;4.200698681869565;0.06322264164214048;7.324754018526499e-09;-2.240886922318495e-06;;;
2019-06-18 21:05:00;-5.33908110367893e-07;-1.1445998662207358e-07;4.200703024003345;0.06306366195317725;7.212107295176712e-09;-2.2427894217193508e-06;;;
2019-06-18 21:10:00;-5.306168595317726e-07;-1.1453769565217391e-07;4.200714602461538;0.06308023211371237;7.217826685965865e-09;-2.2289700204731126e-06;;;
2019-06-18 21:15:00;-5.329312006688962e-07;-1.1330645484949833e-07;4.200708210083612;0.0632164152541806;7.158508219568689e-09;-2.238688444013921e-06;;;
2019-06-18 21:20:00;-5.344216287625417e-07;-1.1431004013377925e-07;4.200726048217391;0.06313554681270903;7.2115199854204615e-09;-2.2449588179804687e-06;;;
2019-06-18 21:25:00;-5.329589765886288e-07;-1.1464702675585282e-07;4.200720689976588;0.06328830590301003;7.250956134616545e-09;-2.238811820452155e-06;;;
2019-06-18 21:30:00;-5.307176053511705e-07;-1.160353177257525e-07;4.200733210531772;0.06307629369899666;7.31161740962713e-09;-2.229403090548717e-06;;;
2019-06-18 21:35:00;-5.33348237458194e-07;-1.177971304347826e-07;4.200735232779264;0.06334804979598663;7.443077274916177e-09;-2.2404546941680955e-06;;;
2019-06-18 21:40:00;-5.342900401337793e-07;-1.1828020735785952e-07;4.200702644063545;0.06310985179933111;7.456769229972712e-09;-2.2443937146549876e-06;;;
2019-06-18 21:45:00;-5.317663456375839e-07;-1.200059865771812e-07;4.200720290832215;0.06322334148322148;7.582177271977013e-09;-2.2338016616001484e-06;;;
2019-06-18 21:50:00;-5.302258160535117e-07;-1.1724411371237457e-07;4.200715167759197;0.06337195921070234;7.42239127265841e-09;-2.227327635248719e-06;;;
2019-06-18 21:55:00;-5.32369177257525e-07;-1.1391541806020066e-07;4.200734373541806;0.06305350163879599;7.1752891690333375e-09;-2.236341494749863e-06;;;
