Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;50;1.000000
0;0:0;0;0;0;0;50;0.000000
146;2:28;76;0;21;44;50;1.000000
255;4:19;77;0;21;44;50;1.000000
384;6:30;77;0;21;44;50;1.000000
488;8:16;76;0;21;44;50;1.000000
583;9:52;77;0;21;44;50;1.000000
663;11:14;73;0;21;44;50;1.000000
761;12:53;76;0;21;44;50;1.000000
847;14:21;76;0;21;42;50;1.000000
931;15:46;77;0;21;44;50;1.000000
1011;17:8;76;0;21;44;50;1.000000
1091;18:29;77;0;21;44;50;1.000000
1179;19:58;77;0;21;44;50;1.000000
1330;22:32;78;0;21;44;50;1.000000
1414;23:57;77;0;21;42;50;1.000000
1539;2:5;76;0;21;44;50;1.000000
1737;5:26;76;0;21;44;50;1.000000
1842;7:13;77;0;21;42;50;1.000000
1979;9:32;78;0;21;44;50;1.000000
2059;10:53;77;0;21;44;50;1.000000
2140;12:16;77;0;21;44;50;1.000000
2234;13:51;77;0;21;44;50;1.000000
2325;15:24;78;0;21;42;50;1.000000
2406;16:46;78;0;21;44;50;1.000000
2489;18:11;76;0;21;42;50;1.000000
2578;19:41;78;0;21;42;50;1.000000
2657;21:2;76;0;21;42;50;1.000000
2753;22:39;74;0;21;42;50;1.000000
2834;0:2;77;0;21;42;50;1.000000
3027;3:18;77;0;21;42;50;1.000000
3143;5:16;77;0;21;42;50;1.000000
3251;7:6;76;0;21;42;50;1.000000
3391;9:28;77;0;21;44;50;1.000000
3475;10:53;77;0;21;44;50;1.000000
3573;12:33;78;0;21;44;50;1.000000
3654;13:55;78;0;21;44;50;1.000000
3740;15:23;76;0;21;44;50;1.000000
3822;16:46;75;0;21;42;50;1.000000
3912;18:18;77;0;21;44;50;1.000000
3993;19:40;77;0;21;42;50;1.000000
4076;21:5;76;0;21;42;50;1.000000
4206;23:17;76;0;21;42;50;1.000000
4318;1:11;76;0;21;42;50;1.000000
4497;4:13;77;0;21;42;50;1.000000
4616;6:14;77;0;21;42;50;1.000000
4718;7:57;77;0;21;42;50;1.000000
4797;9:18;76;0;21;42;50;1.000000
4880;10:42;76;0;21;42;50;1.000000
4960;12:4;77;0;21;42;50;1.000000
5047;13:32;77;0;21;42;50;1.000000
5132;14:58;78;0;21;42;50;1.000000
5212;16:20;78;0;21;42;50;1.000000
5310;17:59;77;0;21;42;50;1.000000
5408;19:39;77;0;21;42;50;1.000000
5492;21:5;77;0;21;42;50;1.000000
5583;22:37;77;0;21;42;50;1.000000
5723;1:0;76;0;21;42;50;1.000000
5829;2:47;77;0;21;42;50;1.000000
5925;4:25;76;0;21;42;50;1.000000
6013;5:54;78;0;21;42;50;1.000000
6104;7:27;78;0;21;42;50;1.000000
6218;9:23;77;0;21;44;50;1.000000
6330;11:17;76;0;21;44;50;1.000000
6415;12:43;78;0;21;44;50;1.000000
6506;14:16;77;0;21;42;50;1.000000
6605;15:56;78;0;21;44;50;1.000000
6685;17:18;77;0;21;42;50;1.000000
6773;18:47;77;0;21;42;50;1.000000
6853;20:9;76;0;21;40;50;1.000000
6938;21:35;74;0;21;42;50;1.000000
7068;23:47;77;0;21;42;50;1.000000
7155;1:16;77;0;21;42;50;1.000000
7256;2:58;77;0;21;42;50;1.000000
7368;4:52;78;0;21;42;50;1.000000
7479;6:45;77;0;21;42;50;1.000000
7585;8:33;78;0;21;42;50;1.000000
7666;9:55;78;0;21;44;50;1.000000
7756;11:27;77;0;21;42;50;1.000000
7836;12:48;77;0;21;42;50;1.000000
7943;14:37;76;0;21;42;50;1.000000
8023;15:58;76;0;21;42;50;1.000000
8102;17:19;77;0;21;42;50;1.000000
8187;18:45;78;0;21;42;50;1.000000
8273;20:13;75;0;21;42;50;1.000000
8354;21:35;77;0;21;42;50;1.000000
8495;23:58;78;0;21;42;50;1.000000
8596;1:41;77;0;21;42;50;1.000000
8701;3:28;77;0;21;38;50;1.100000
8809;5:18;77;0;21;42;50;1.000000
8890;6:40;77;0;21;42;50;1.000000
8976;8:8;75;0;21;42;50;1.000000
9055;9:28;75;0;21;42;50;1.000000
9143;10:57;77;0;21;42;50;1.000000
9237;12:33;77;0;21;42;50;1.000000
9328;14:6;77;0;21;42;50;1.000000
9408;15:27;77;0;21;42;50;1.000000
9489;16:49;77;0;21;42;50;1.000000
9573;18:15;77;0;21;42;50;1.000000
9653;19:36;77;0;21;42;50;1.000000
9744;21:9;77;0;21;42;50;1.000000
9831;22:37;76;0;21;42;50;1.000000
9913;0:1;75;0;21;42;50;1.000000
10014;1:43;76;0;21;42;50;1.000000
10134;3:45;77;0;21;42;50;1.000000
10256;5:49;76;0;21;36;50;1.200000
10367;7:42;76;0;21;42;50;1.000000
10462;9:19;78;0;21;42;50;1.000000
10543;10:41;78;0;21;42;50;1.000000
10623;12:3;76;0;21;42;50;1.000000
10704;13:25;77;0;21;42;50;1.000000
10788;14:50;77;0;21;42;50;1.000000
10871;16:15;76;0;21;42;50;1.000000
10953;17:38;78;0;21;42;50;1.000000
11036;19:3;76;0;21;42;50;1.000000
11119;20:27;76;0;21;42;50;1.000000
11200;21:49;78;0;21;42;50;1.000000
11347;0:19;78;0;21;42;50;1.000000
11459;2:13;77;0;21;42;50;1.000000
11646;5:23;77;0;21;42;50;1.000000
11727;6:45;77;0;21;38;50;1.100000
11868;9:9;77;0;21;42;50;1.000000
11952;10:34;77;0;21;42;50;1.000000
12042;12:6;76;0;21;42;50;1.000000
12125;13:30;76;0;21;42;50;1.000000
12208;14:54;76;0;21;42;50;1.000000
12287;16:15;76;0;21;42;50;1.000000
12371;17:40;77;0;21;42;50;1.000000
12451;19:2;76;0;21;42;50;1.000000
12556;20:48;77;0;21;42;50;1.000000
12644;22:18;77;0;21;42;50;1.000000
12745;0:1;77;0;21;42;50;1.000000
12836;1:33;77;0;21;42;50;1.000000
12989;4:9;75;0;21;42;50;1.000000
13085;5:46;78;0;21;42;50;1.000000
13181;7:24;76;0;21;42;50;1.000000
13321;9:46;78;0;21;42;50;1.000000
13400;11:7;76;0;21;42;50;1.000000
13484;12:32;77;0;21;42;50;1.000000
13568;13:57;76;0;21;42;50;1.000000
13648;15:19;78;0;21;42;50;1.000000
13733;16:45;78;0;21;44;50;1.000000
13816;18:10;76;0;21;42;50;1.000000
13898;19:33;78;0;21;42;50;1.000000
13985;21:2;76;0;21;42;50;1.000000
14084;22:42;77;0;21;42;50;1.000000
14196;0:36;78;0;21;42;50;1.000000
14287;2:9;74;0;21;42;50;1.000000
14368;3:31;77;0;21;42;50;1.000000
14469;5:14;76;0;21;42;50;1.000000
14564;6:50;77;0;21;36;50;1.200000
14662;8:30;78;0;21;42;50;1.000000
14746;9:55;77;0;21;42;50;1.000000
14829;11:20;77;0;21;42;50;1.000000
14918;12:50;78;0;21;42;50;1.000000
15005;14:19;78;0;21;42;50;1.000000
15090;15:45;78;0;21;42;50;1.000000
15177;17:14;77;0;21;42;50;1.000000
15261;18:39;77;0;21;42;50;1.000000
15342;20:2;75;0;21;42;50;1.000000
15444;21:45;77;0;21;42;50;1.000000
15571;23:54;78;0;21;42;50;1.000000
15725;2:31;78;0;21;42;50;1.000000
15875;5:4;77;0;21;42;50;1.000000
15959;6:29;77;0;21;38;50;1.100000
16141;9:34;77;0;21;42;50;1.000000
16242;11:17;76;0;21;42;50;1.000000
16345;13:2;74;0;21;44;50;1.000000
16426;14:24;78;0;21;42;50;1.000000
16518;15:57;78;0;21;42;50;1.000000
16602;17:23;78;0;21;42;50;1.000000
16682;18:44;77;0;21;42;50;1.000000
16787;20:31;77;0;21;42;50;1.000000
16889;22:15;77;0;21;42;50;1.000000
16977;23:44;77;0;21;42;50;1.000000
17092;1:41;77;0;21;42;50;1.000000
17204;3:35;77;0;21;38;50;1.100000
17294;5:7;76;0;21;36;50;1.200000
17374;6:28;76;0;21;36;50;1.200000
17478;8:14;77;0;21;42;50;1.000000
17559;9:36;78;0;21;42;50;1.000000
17649;11:8;75;0;21;42;50;1.000000
17740;12:40;77;0;21;42;50;1.000000
17819;14:1;76;0;21;42;50;1.000000
17898;15:21;76;0;21;42;50;1.000000
17983;16:47;78;0;21;42;50;1.000000
18069;18:15;78;0;21;44;50;1.000000
18153;19:40;78;0;21;42;50;1.000000
18233;21:2;76;0;21;42;50;1.000000
18317;22:27;77;0;21;42;50;1.000000
18408;23:59;77;0;21;42;50;1.000000
18499;1:32;75;0;21;42;50;1.000000
18590;3:5;76;0;21;42;50;1.000000
18708;5:5;75;0;21;44;50;1.000000
18867;7:46;78;0;21;42;50;1.000000
18948;9:9;77;0;21;44;50;1.000000
19029;10:31;78;0;21;44;50;1.000000
19110;11:53;77;0;21;44;50;1.000000
19201;13:26;78;0;21;44;50;1.000000
19300;15:7;77;0;21;44;50;1.000000
19384;16:32;77;0;21;44;50;1.000000
19464;17:53;76;0;21;44;50;1.000000
19546;19:17;76;0;21;44;50;1.000000
19628;20:40;78;0;21;44;50;1.000000
19765;22:59;76;0;21;44;50;1.000000
19866;0:42;77;0;21;44;50;1.000000
20023;3:22;77;0;21;44;50;1.000000
20131;5:12;76;0;21;44;50;1.000000
20264;7:27;77;0;21;44;50;1.000000
20376;9:21;77;0;21;44;50;1.000000
20457;10:43;78;0;21;44;50;1.000000
20535;12:3;74;0;21;44;50;1.000000
20627;13:36;78;0;21;44;50;1.000000
20721;15:12;77;0;21;44;50;1.000000
20808;16:40;76;0;21;44;50;1.000000
20910;18:24;77;0;21;44;50;1.000000
20991;19:46;78;0;21;44;50;1.000000
21071;21:8;77;0;21;44;50;1.000000
