ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
3;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
7;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
10;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
14;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
17;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
21;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
24;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
28;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
31;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
34;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
38;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
42;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
45;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
49;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
52;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
56;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
59;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
62;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
65;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
69;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
73;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
76;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
79;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
83;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
87;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
90;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
94;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
97;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
101;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
104;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
108;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
111;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
115;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
118;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
121;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
125;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
128;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
132;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
135;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
139;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
142;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
146;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
149;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
153;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
157;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
160;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
164;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
167;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
171;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
175;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
177;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
181;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
184;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
188;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
191;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
195;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
198;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
202;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
206;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
209;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
213;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
216;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
220;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
223;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
227;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
230;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
234;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
236;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
240;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
244;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
247;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
251;0.000000;0.000000;5000.000000;3.600000;1;1.200000;gr_sensing_LC_con02,
254;0.000000;0.500000;4999.500000;3.600000;1;1.200000;gr_sensing_LC_con02,
258;0.000000;0.500000;4999.000000;3.600000;1;1.200000;gr_sensing_LC_con02,
261;0.000000;0.500000;4998.500000;3.600000;1;1.200000;gr_sensing_LC_con02,
265;0.000000;0.500000;4998.000000;3.600000;1;1.200000;gr_sensing_LC_con02,
269;0.000000;0.500000;4997.500000;3.600000;1;1.200000;gr_sensing_LC_con02,
272;0.000000;0.500000;4997.000000;3.600000;1;1.200000;gr_sensing_LC_con02,
276;0.000000;0.500000;4996.500000;3.600000;1;1.200000;gr_sensing_LC_con02,
279;0.000000;0.500000;4996.000000;3.600000;1;1.200000;gr_sensing_LC_con02,
283;0.000000;0.500000;4995.500000;0.000000;0;0.000000;
286;0.000000;0.000000;4995.500000;0.000000;0;0.000000;
290;0.000000;0.000000;4995.500000;0.000000;0;0.000000;
293;0.000000;0.000000;4995.500000;0.000000;0;0.000000;
296;0.000000;0.000000;4995.500000;0.000000;0;0.000000;
299;0.000000;0.000000;4995.500000;0.000000;0;0.000000;
303;0.000000;0.000000;4995.500000;0.000000;0;0.000000;
307;0.000000;0.000000;4995.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
310;0.000000;0.500000;4995.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
314;0.000000;0.500000;4994.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
317;0.000000;0.500000;4994.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
321;0.000000;0.500000;4993.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
324;0.000000;0.500000;4993.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
328;0.000000;0.500000;4992.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
331;0.000000;0.500000;4992.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
335;0.000000;0.500000;4991.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
338;0.000000;0.500000;4991.000000;0.000000;0;0.000000;
342;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
345;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
349;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
352;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
355;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
359;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
362;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
366;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
369;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
373;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
376;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
380;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
384;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
387;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
391;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
394;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
398;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
401;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
405;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
408;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
412;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
414;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
418;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
421;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
425;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
429;0.000000;0.000000;4991.000000;0.000000;0;0.000000;
432;0.000000;0.000000;4991.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
436;0.000000;0.500000;4990.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
439;0.000000;0.500000;4990.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
443;0.000000;0.500000;4989.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
