Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;60;1.000000
0;0:0;0;0;0;0;60;0.000000
227;3:50;220;0;61;62;60;1.000000
452;7:39;218;0;61;62;60;1.000000
699;11:50;222;0;61;62;60;1.000000
923;15:38;221;0;61;62;60;1.000000
1142;19:21;216;0;61;62;60;1.000000
1380;23:23;220;0;61;62;60;1.000000
1626;3:33;221;0;61;62;60;1.000000
1854;7:25;221;0;61;61;60;1.000000
2095;11:30;216;0;61;62;60;1.000000
2320;15:19;221;0;61;62;60;1.000000
2551;19:14;220;0;61;62;60;1.000000
2776;23:3;221;0;61;62;60;1.000000
3097;4:29;220;0;61;62;60;1.000000
3330;8:26;219;0;61;62;60;1.000000
3555;12:15;221;0;61;62;60;1.000000
3778;16:2;220;0;61;62;60;1.000000
4004;19:51;222;0;61;62;60;1.000000
4233;23:44;219;0;61;62;60;1.000000
4487;4:3;222;0;61;62;60;1.000000
4812;9:33;222;0;61;58;60;1.200000
5036;13:21;221;0;61;62;60;1.000000
5262;17:11;219;0;61;62;60;1.000000
5504;21:17;221;0;61;62;60;1.000000
5740;1:17;221;0;61;62;60;1.000000
6016;5:57;222;0;61;62;60;1.000000
6304;10:50;221;0;61;62;60;1.000000
6548;14:58;221;0;61;62;60;1.000000
6776;18:50;221;0;61;62;60;1.000000
7004;22:42;221;0;61;62;60;1.000000
7229;2:31;221;0;61;62;60;1.000000
7484;6:50;219;0;61;58;60;1.200000
7732;11:3;221;0;61;62;60;1.000000
7958;14:52;222;0;61;62;60;1.000000
8183;18:41;221;0;61;62;60;1.000000
8412;22:34;222;0;61;62;60;1.000000
8886;6:36;221;0;61;61;60;1.000000
9168;11:23;221;0;61;62;60;1.000000
9393;15:12;221;0;61;62;60;1.000000
9614;18:56;218;0;61;62;60;1.000000
9871;23:18;222;0;61;62;60;1.000000
10097;3:8;219;0;61;61;60;1.000000
10324;6:58;223;0;61;61;60;1.000000
10568;11:7;217;0;61;62;60;1.000000
10790;14:52;215;0;61;62;60;1.000000
11019;18:45;219;0;61;62;60;1.000000
11246;22:36;219;0;61;62;60;1.000000
11470;2:24;220;0;61;61;60;1.000000
11697;6:15;216;0;61;61;60;1.000000
11949;10:31;220;0;61;62;60;1.000000
12175;14:21;219;0;61;62;60;1.000000
12415;18:25;222;0;61;62;60;1.000000
12647;22:21;221;0;61;62;60;1.000000
12890;2:28;218;0;61;61;60;1.000000
13168;7:11;221;0;61;61;60;1.000000
13443;11:50;221;0;61;62;60;1.000000
13668;15:39;221;0;61;62;60;1.000000
13892;19:27;217;0;61;62;60;1.000000
14117;23:16;221;0;61;62;60;1.000000
14395;3:58;222;0;61;61;60;1.000000
14651;8:19;221;0;61;59;60;1.200000
14872;12:4;217;0;61;62;60;1.000000
15102;15:57;222;0;61;62;60;1.000000
15337;19:56;222;0;61;62;60;1.000000
15569;23:52;222;0;61;62;60;1.000000
15861;4:49;222;0;61;62;60;1.000000
16135;9:28;221;0;61;62;60;1.000000
16359;13:16;221;0;61;62;60;1.000000
16590;17:11;220;0;61;61;60;1.000000
16818;21:3;221;0;61;62;60;1.000000
17044;0:52;218;0;61;62;60;1.000000
17297;5:10;221;0;61;62;60;1.000000
17522;8:58;222;0;61;62;60;1.000000
17746;12:46;221;0;61;62;60;1.000000
17982;16:46;222;0;61;61;60;1.000000
18207;20:35;218;0;61;62;60;1.000000
18453;0:45;222;0;61;62;60;1.000000
18685;4:41;221;0;61;62;60;1.000000
18929;8:49;223;0;61;59;60;1.200000
19148;12:32;216;0;61;62;60;1.000000
19391;16:39;221;0;61;62;60;1.000000
19627;20:39;221;0;61;62;60;1.000000
19855;0:31;221;0;61;62;60;1.000000
20255;7:18;218;0;61;62;60;1.000000
20489;11:16;220;0;61;62;60;1.000000
20714;15:5;221;0;61;62;60;1.000000
20944;18:58;223;0;61;62;60;1.000000
21176;22:54;222;0;61;62;60;1.000000
21450;3:33;220;0;61;62;60;1.000000
21735;8:23;220;0;61;62;60;1.000000
21963;12:15;221;0;61;62;60;1.000000
22188;16:4;221;0;61;62;60;1.000000
22410;19:49;218;0;61;62;60;1.000000
22638;23:41;221;0;61;62;60;1.000000
22870;3:37;221;0;61;62;60;1.000000
23106;7:37;221;0;61;62;60;1.000000
23361;11:56;220;0;61;62;60;1.000000
23585;15:44;221;0;61;62;60;1.000000
23824;19:47;222;0;61;62;60;1.000000
24052;23:39;221;0;61;62;60;1.000000
24292;3:43;221;0;61;62;60;1.000000
24581;8:37;218;0;61;59;60;1.200000
24817;12:37;222;0;61;62;60;1.000000
25049;16:33;221;0;61;62;60;1.000000
25281;20:29;221;0;61;62;60;1.000000
25542;0:54;218;0;61;62;60;1.000000
25806;5:23;221;0;61;62;60;1.000000
26049;9:30;221;0;61;62;60;1.000000
26297;13:42;219;0;61;62;60;1.000000
26522;17:31;221;0;61;62;60;1.000000
26746;21:19;217;0;61;62;60;1.000000
26990;1:27;214;0;61;62;60;1.000000
27217;5:18;217;0;61;62;60;1.000000
27465;9:30;219;0;61;62;60;1.000000
27678;13:7;210;0;61;62;60;1.000000
27904;16:56;222;0;61;62;60;1.000000
28129;20:45;222;0;61;62;60;1.000000
28397;1:18;222;0;61;62;60;1.000000
28650;5:35;221;0;61;62;60;1.000000
28875;9:24;218;0;61;59;60;1.200000
