ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000;
4;0.000000;0.000000;510.000000;0.000000;0;0.000000;
7;0.000000;0.000000;510.000000;1.800000;1;0.820000;gr_sensing_SM_con03,
11;0.000000;0.030000;509.970000;1.800000;1;0.820000;gr_sensing_SM_con03,
14;0.000000;0.030000;509.940000;1.800000;1;0.820000;gr_sensing_SM_con03,
18;0.000000;0.030000;509.910000;1.800000;1;0.820000;gr_sensing_SM_con03,
22;0.000000;0.030000;509.880000;1.800000;1;0.820000;gr_sensing_SM_con03,
25;0.000000;0.030000;509.850000;1.800000;1;0.820000;gr_sensing_SM_con03,
29;0.000000;0.030000;509.820000;1.800000;1;0.820000;gr_sensing_SM_con03,
32;0.000000;0.030000;509.790000;1.800000;1;0.820000;gr_sensing_SM_con03,
36;0.000000;0.030000;509.760000;1.800000;1;0.820000;gr_sensing_SM_con03,
40;0.000000;0.030000;509.730000;1.800000;1;0.820000;gr_sensing_SM_con03,
43;0.000000;0.030000;509.700000;1.800000;1;0.820000;gr_sensing_SM_con03,
47;0.000000;0.030000;509.670000;1.800000;1;0.820000;gr_sensing_SM_con03,
51;0.000000;0.030000;509.640000;1.800000;1;0.820000;gr_sensing_SM_con03,
54;0.000000;0.030000;509.610000;1.800000;1;0.820000;gr_sensing_SM_con03,
58;0.000000;0.030000;509.580000;1.800000;1;0.820000;gr_sensing_SM_con03,
61;0.000000;0.030000;509.550000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
64;0.000000;0.530000;509.020000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
68;0.000000;0.530000;508.490000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
71;0.000000;0.530000;507.960000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
75;0.000000;0.530000;507.430000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
78;0.000000;0.530000;506.900000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
82;0.000000;0.530000;506.370000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
86;0.000000;0.530000;505.840000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
89;0.000000;0.530000;505.310000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
93;0.000000;0.530000;504.780000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
96;0.000000;0.530000;504.250000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
100;0.000000;0.530000;503.720000;6.700000;2;1.170180;gr_sensing_SM_con03,gr_sensing_LC_con02,
103;0.000000;0.530000;503.190000;1.800000;1;0.820000;gr_sensing_SM_con03,
107;0.000000;0.030000;503.160000;1.800000;1;0.820000;gr_sensing_SM_con03,
111;0.000000;0.030000;503.130000;1.800000;1;0.820000;gr_sensing_SM_con03,
