Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;50;1.000000
0;0:0;0;0;0;0;50;0.000000
83;1:24;41;0;11;60;50;1.000000
137;2:19;40;0;11;45;50;1.200000
212;3:35;41;0;11;40;50;1.200000
293;4:57;41;0;11;40;50;1.200000
336;5:41;41;0;11;40;50;1.200000
387;6:33;40;0;11;40;50;1.200000
441;7:28;41;0;11;40;50;1.200000
495;8:23;40;0;11;40;50;1.200000
539;9:8;41;0;11;40;50;1.200000
587;9:56;41;0;11;45;50;1.100000
634;10:44;42;0;11;40;50;1.200000
681;11:32;40;0;11;40;50;1.200000
731;12:23;40;0;11;55;50;1.000000
782;13:15;40;0;11;40;50;1.200000
833;14:7;41;0;11;55;50;1.000000
878;14:52;42;0;11;55;50;1.000000
921;15:36;40;0;11;50;50;1.000000
965;16:21;40;0;11;55;50;1.000000
1009;17:6;40;0;11;55;50;1.000000
1057;17:54;41;0;11;55;50;1.000000
1105;18:43;42;0;11;45;50;1.100000
1149;19:28;41;0;11;40;50;1.200000
1200;20:20;41;0;11;40;50;1.200000
1247;21:8;40;0;11;40;50;1.200000
1298;22:0;40;0;11;40;50;1.200000
1350;22:52;41;0;11;40;50;1.200000
1417;0:1;40;0;11;40;50;1.200000
1469;0:53;42;0;11;40;50;1.200000
1553;2:19;40;0;11;40;50;1.200000
1666;4:14;41;0;11;40;50;1.200000
1791;6:21;40;0;11;45;50;1.200000
1886;7:57;41;0;11;45;50;1.100000
1934;8:46;42;0;11;40;50;1.200000
1985;9:38;41;0;11;40;50;1.200000
2029;10:23;41;0;11;40;50;1.200000
2080;11:15;41;0;11;40;50;1.200000
2124;12:0;40;0;11;40;50;1.200000
2169;12:45;41;0;11;55;50;1.000000
2213;13:30;41;0;11;40;50;1.200000
2285;14:43;42;0;11;55;50;1.000000
2329;15:28;41;0;11;55;50;1.000000
2373;16:13;41;0;11;55;50;1.000000
2424;17:5;40;0;11;55;50;1.000000
2486;18:8;41;0;11;55;50;1.000000
2537;19:0;41;0;11;55;50;1.000000
2585;19:48;41;0;11;55;50;1.000000
2711;21:56;42;0;11;40;50;1.200000
2839;0:7;40;0;11;40;50;1.200000
2931;1:40;40;0;11;40;50;1.200000
2975;2:25;40;0;11;40;50;1.200000
3080;4:12;41;0;11;40;50;1.200000
3137;5:10;40;0;11;40;50;1.200000
3219;6:33;41;0;11;40;50;1.200000
3345;8:41;41;0;11;40;50;1.200000
3393;9:30;41;0;11;40;50;1.200000
3444;10:22;41;0;11;40;50;1.200000
3501;11:20;40;0;11;40;50;1.200000
3548;12:8;40;0;11;55;50;1.000000
3597;12:57;42;0;11;40;50;1.200000
3645;13:46;42;0;11;55;50;1.000000
3692;14:34;41;0;11;45;50;1.100000
3736;15:19;41;0;11;45;50;1.100000
3780;16:4;41;0;11;55;50;1.000000
3828;16:52;42;0;11;55;50;1.000000
3872;17:37;41;0;11;60;50;1.000000
3916;18:22;41;0;11;45;50;1.100000
3963;19:10;40;0;11;40;50;1.200000
4012;19:59;42;0;11;40;50;1.200000
4059;20:47;42;0;11;40;50;1.200000
4174;22:44;41;0;11;40;50;1.200000
4255;0:7;40;0;11;40;50;1.200000
4331;1:24;41;0;11;40;50;1.200000
4406;2:40;41;0;11;40;50;1.200000
4464;3:39;41;0;11;40;50;1.200000
4518;4:34;40;0;11;40;50;1.200000
4576;5:33;41;0;11;40;50;1.200000
4624;6:22;41;0;11;40;50;1.200000
4675;7:14;41;0;11;40;50;1.200000
4722;8:2;40;0;11;40;50;1.200000
4768;8:48;42;0;11;40;50;1.200000
4822;9:43;42;0;11;45;50;1.100000
4873;10:35;41;0;11;40;50;1.200000
4917;11:20;41;0;11;40;50;1.200000
4961;12:5;40;0;11;55;50;1.000000
5013;12:57;42;0;11;40;50;1.200000
5074;13:59;42;0;11;55;50;1.000000
5118;14:44;41;0;11;45;50;1.100000
5162;15:29;40;0;11;50;50;1.000000
5217;16:25;41;0;11;55;50;1.000000
5261;17:10;41;0;11;55;50;1.000000
5323;18:13;41;0;11;55;50;1.000000
5367;18:57;41;0;11;55;50;1.000000
5415;19:46;42;0;11;40;50;1.200000
5459;20:31;41;0;11;40;50;1.200000
5578;22:32;40;0;11;40;50;1.200000
5640;23:35;41;0;11;40;50;1.200000
5687;0:23;40;0;11;40;50;1.200000
5738;1:15;40;0;11;40;50;1.200000
5837;2:55;41;0;11;40;50;1.200000
5968;5:9;40;0;11;40;50;1.200000
6064;6:46;41;0;11;40;50;1.200000
6149;8:13;41;0;11;45;50;1.100000
6194;8:58;42;0;11;40;50;1.200000
6237;9:42;41;0;11;40;50;1.200000
6281;10:27;40;0;11;40;50;1.200000
6329;11:16;41;0;11;40;50;1.200000
6376;12:4;40;0;11;40;50;1.200000
6421;12:49;42;0;11;55;50;1.000000
6472;13:41;41;0;11;40;50;1.200000
6523;14:33;41;0;11;40;50;1.200000
6570;15:21;40;0;11;45;50;1.100000
6625;16:17;41;0;11;55;50;1.000000
6669;17:2;41;0;11;55;50;1.000000
6714;17:47;42;0;11;55;50;1.000000
6761;18:35;41;0;11;55;50;1.000000
6812;19:27;41;0;11;40;50;1.200000
6862;20:18;40;0;11;40;50;1.200000
6971;22:9;41;0;11;40;50;1.200000
7029;23:8;41;0;11;40;50;1.200000
7176;1:37;41;0;11;40;50;1.200000
7244;2:46;41;0;11;40;50;1.200000
7371;4:55;42;0;11;40;50;1.200000
7415;5:40;41;0;11;40;50;1.200000
7476;6:42;42;0;11;40;50;1.200000
7567;8:15;40;0;11;40;50;1.200000
7615;9:4;41;0;11;40;50;1.200000
7663;9:52;41;0;11;45;50;1.100000
7708;10:38;41;0;11;40;50;1.200000
7752;11:23;41;0;11;40;50;1.200000
7800;12:12;41;0;11;55;50;1.000000
7847;13:0;40;0;11;45;50;1.200000
7895;13:48;41;0;11;55;50;1.000000
7947;14:41;41;0;11;45;50;1.100000
8005;15:40;41;0;11;55;50;1.000000
8064;16:40;41;0;11;55;50;1.000000
8120;17:37;42;0;11;55;50;1.000000
8165;18:23;42;0;11;55;50;1.000000
8210;19:9;41;0;11;55;50;1.000000
8256;19:55;42;0;11;40;50;1.200000
8343;21:24;41;0;11;40;50;1.200000
8437;23:0;41;0;11;45;50;1.200000
8529;0:33;42;0;11;40;50;1.200000
8599;1:44;43;0;11;40;50;1.200000
8673;2:59;43;0;11;40;50;1.200000
8742;4:10;41;0;11;40;50;1.200000
8795;5:4;42;0;11;45;50;1.200000
8898;6:48;42;0;11;45;50;1.200000
9011;8:43;43;0;11;45;50;1.100000
9063;9:36;42;0;11;45;50;1.200000
9109;10:23;42;0;11;45;50;1.200000
9166;11:21;42;0;11;45;50;1.100000
9215;12:11;42;0;11;45;50;1.200000
9262;12:58;43;0;11;45;50;1.100000
9311;13:48;43;0;11;45;50;1.200000
9360;14:38;42;0;11;60;50;1.000000
9412;15:31;41;0;11;60;50;1.000000
9465;16:25;42;0;11;55;50;1.000000
9514;17:15;42;0;11;55;50;1.000000
9571;18:13;42;0;11;55;50;1.000000
9617;18:59;43;0;11;55;50;1.000000
9662;19:45;42;0;11;45;50;1.200000
9803;22:9;42;0;11;45;50;1.200000
9869;23:16;41;0;11;45;50;1.200000
9920;0:8;40;0;11;45;50;1.200000
10009;1:38;41;0;11;45;50;1.200000
10082;2:52;43;0;11;45;50;1.200000
10135;3:46;40;0;11;45;50;1.200000
10185;4:37;43;0;11;45;50;1.200000
10245;5:38;43;0;11;45;50;1.200000
10298;6:32;42;0;11;45;50;1.200000
10344;7:19;42;0;11;45;50;1.200000
10412;8:28;42;0;11;50;50;1.100000
10469;9:26;43;0;11;45;50;1.200000
10532;10:30;42;0;11;45;50;1.200000
10586;11:25;43;0;11;50;50;1.100000
10632;12:12;43;0;11;45;50;1.200000
10684;13:5;42;0;11;50;50;1.100000
10731;13:52;43;0;11;45;50;1.200000
10777;14:39;42;0;11;60;50;1.000000
10838;15:41;43;0;11;60;50;1.000000
10883;16:27;42;0;11;60;50;1.000000
10929;17:14;42;0;11;60;50;1.000000
10989;18:15;40;0;11;60;50;1.000000
11033;19:0;40;0;11;45;50;1.200000
11092;19:59;42;0;11;60;50;1.000000
11144;20:52;42;0;11;45;50;1.200000
11253;22:43;43;0;11;45;50;1.200000
11297;23:28;40;0;11;40;50;1.200000
11387;0:59;42;0;11;40;50;1.200000
11438;1:51;42;0;11;40;50;1.200000
11522;3:17;42;0;11;45;50;1.200000
11589;4:25;42;0;11;45;50;1.200000
11661;5:38;43;0;11;45;50;1.200000
11741;6:59;37;0;11;45;50;1.200000
11792;7:51;36;0;11;40;50;1.200000
11840;8:40;41;0;11;45;50;1.200000
11897;9:38;40;0;11;50;50;1.200000
11959;10:41;41;0;11;60;50;1.000000
12003;11:26;41;0;11;35;50;1.000000
12057;12:21;41;0;11;45;50;1.200000
12101;13:6;41;0;11;45;50;1.200000
12147;13:52;42;0;11;60;50;1.000000
12191;14:37;41;0;11;45;50;1.200000
12246;15:33;41;0;11;60;50;1.000000
12298;16:26;41;0;11;60;50;1.000000
12350;17:19;41;0;11;55;50;1.000000
12413;18:23;42;0;11;55;50;1.000000
12478;19:29;43;0;11;60;50;1.000000
12530;20:22;42;0;11;40;50;1.200000
12605;21:38;43;0;11;45;50;1.200000
12657;22:31;42;0;11;45;50;1.200000
12742;23:57;43;0;11;40;50;1.200000
12851;1:48;43;0;11;45;50;1.200000
12953;3:32;41;0;11;45;50;1.200000
13076;5:37;39;0;11;45;50;1.200000
13140;6:42;41;0;11;45;50;1.200000
13200;7:43;43;0;11;45;50;1.200000
