ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000;
4;0.000000;0.000000;510.000000;0.000000;0;0.000000;
7;0.000000;0.000000;510.000000;0.000000;0;0.000000;
11;0.000000;0.000000;510.000000;0.000000;0;0.000000;
14;0.000000;0.000000;510.000000;0.000000;0;0.000000;
18;0.000000;0.000000;510.000000;0.000000;0;0.000000;
21;0.000000;0.000000;510.000000;0.000000;0;0.000000;
24;0.000000;0.000000;510.000000;0.000000;0;0.000000;
28;0.000000;0.000000;510.000000;0.000000;0;0.000000;
31;0.000000;0.000000;510.000000;0.000000;0;0.000000;
35;0.000000;0.000000;510.000000;0.000000;0;0.000000;
38;0.000000;0.000000;510.000000;0.000000;0;0.000000;
42;0.000000;0.000000;510.000000;0.000000;0;0.000000;
45;0.000000;0.000000;510.000000;0.000000;0;0.000000;
49;0.000000;0.000000;510.000000;0.000000;0;0.000000;
52;0.000000;0.000000;510.000000;0.000000;0;0.000000;
56;0.000000;0.000000;510.000000;0.000000;0;0.000000;
59;0.000000;0.000000;510.000000;0.000000;0;0.000000;
62;0.000000;0.000000;510.000000;0.000000;0;0.000000;
65;0.000000;0.000000;510.000000;1.800000;1;0.820000;gr_sensing_SM_con03,
69;0.000000;0.030000;509.970000;1.800000;1;0.820000;gr_sensing_SM_con03,
72;0.000000;0.030000;509.940000;1.800000;1;0.820000;gr_sensing_SM_con03,
76;0.000000;0.030000;509.910000;1.800000;1;0.820000;gr_sensing_SM_con03,
80;0.000000;0.030000;509.880000;1.800000;1;0.820000;gr_sensing_SM_con03,
83;0.000000;0.030000;509.850000;1.800000;1;0.820000;gr_sensing_SM_con03,
87;0.000000;0.030000;509.820000;1.800000;1;0.820000;gr_sensing_SM_con03,
90;0.000000;0.030000;509.790000;1.800000;1;0.820000;gr_sensing_SM_con03,
93;0.000000;0.030000;509.760000;1.800000;1;0.820000;gr_sensing_SM_con03,
97;0.000000;0.030000;509.730000;1.800000;1;0.820000;gr_sensing_SM_con03,
100;0.000000;0.030000;509.700000;1.800000;1;0.820000;gr_sensing_SM_con03,
104;0.000000;0.030000;509.670000;1.800000;1;0.820000;gr_sensing_SM_con03,
107;0.000000;0.030000;509.640000;1.800000;1;0.820000;gr_sensing_SM_con03,
111;0.000000;0.030000;509.610000;1.800000;1;0.820000;gr_sensing_SM_con03,
114;0.000000;0.030000;509.580000;1.800000;1;0.820000;gr_sensing_SM_con03,
118;0.000000;0.030000;509.550000;1.800000;1;0.820000;gr_sensing_SM_con03,
120;0.000000;0.030000;509.520000;1.800000;1;0.820000;gr_sensing_SM_con03,
123;0.000000;0.030000;509.490000;1.800000;1;0.820000;gr_sensing_SM_con03,
127;0.000000;0.030000;509.460000;1.800000;1;0.820000;gr_sensing_SM_con03,
130;0.000000;0.030000;509.430000;1.800000;1;0.820000;gr_sensing_SM_con03,
134;0.000000;0.030000;509.400000;1.800000;1;0.820000;gr_sensing_SM_con03,
137;0.000000;0.030000;509.370000;1.800000;1;0.820000;gr_sensing_SM_con03,
