Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;50;1.000000
0;0:0;0;0;0;0;50;0.000000
213;3:36;54;0;12;50;50;1.000000
376;6:22;54;0;12;50;50;1.000000
461;7:48;55;0;12;50;50;1.000000
530;8:58;50;0;11;45;50;1.000000
613;10:23;54;0;12;50;50;1.000000
693;11:44;50;0;11;50;50;1.000000
767;12:59;50;0;11;50;50;1.000000
845;14:19;54;0;12;50;50;1.000000
925;15:40;54;0;12;50;50;1.000000
1000;16:56;51;0;11;50;50;1.000000
1073;18:11;54;0;12;50;50;1.000000
1143;19:22;50;0;11;50;50;1.000000
1217;20:37;54;0;12;50;50;1.000000
1316;22:18;54;0;12;50;50;1.000000
1415;23:58;54;0;12;50;50;1.000000
1494;1:19;50;0;11;45;50;1.000000
1667;4:15;54;0;12;50;50;1.000000
1742;5:31;55;0;12;50;50;1.000000
1850;7:21;54;0;12;50;50;1.000000
1954;9:7;54;0;12;50;50;1.000000
2029;10:23;50;0;11;45;50;1.000000
2103;11:38;54;0;12;50;50;1.000000
2192;13:9;54;0;12;50;50;1.000000
2266;14:24;54;0;12;50;50;1.000000
2336;15:35;50;0;11;45;50;1.000000
2410;16:50;50;0;11;45;50;1.000000
2484;18:6;50;0;11;50;50;1.000000
2568;19:31;54;0;12;50;50;1.000000
2700;21:45;53;0;12;50;50;1.000000
2789;23:16;54;0;12;50;50;1.000000
2884;0:52;55;0;12;50;50;1.000000
3096;4:28;54;0;12;50;50;1.000000
3205;6:19;54;0;12;50;50;1.000000
3314;8:10;50;0;11;45;50;1.000000
3393;9:30;54;0;12;50;50;1.000000
3473;10:51;54;0;12;50;50;1.000000
3546;12:6;54;0;12;50;50;1.000000
3626;13:27;54;0;12;50;50;1.000000
3696;14:38;50;0;11;45;50;1.000000
3789;16:13;54;0;12;50;50;1.000000
3879;17:44;50;0;11;45;50;1.000000
3948;18:54;50;0;11;45;50;1.000000
4022;20:10;50;0;11;50;50;1.000000
4130;22:0;50;0;11;50;50;1.000000
4254;0:6;50;0;11;45;50;1.000000
