Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
1;0:1;1;0;0;0;50;1.000000
1;0:1;1;0;0;0;50;0.000000
151;2:33;74;0;21;42;50;1.000000
253;4:17;75;0;21;44;50;1.000000
353;5:58;76;0;21;44;50;1.000000
495;8:23;77;0;21;44;50;1.000000
579;9:48;77;0;21;42;50;1.000000
658;11:9;75;0;21;42;50;1.000000
737;12:29;76;0;21;42;50;1.000000
830;14:4;76;0;21;42;50;1.000000
921;15:36;77;0;21;42;50;1.000000
1001;16:57;73;0;21;42;50;1.000000
1095;18:33;75;0;21;42;50;1.000000
1196;20:16;76;0;21;42;50;1.000000
1291;21:52;77;0;21;42;50;1.000000
1371;23:14;77;0;21;42;50;1.000000
1463;0:47;78;0;21;42;50;1.000000
1555;2:21;79;0;21;44;50;1.000000
1671;4:19;78;0;21;44;50;1.000000
1760;5:49;78;0;21;44;50;1.000000
1897;8:9;77;0;21;42;50;1.000000
1978;9:31;77;0;21;42;50;1.000000
2059;10:53;74;0;21;42;50;1.000000
2143;12:19;75;0;21;42;50;1.000000
2228;13:45;78;0;21;42;50;1.000000
2312;15:11;77;0;21;42;50;1.000000
2395;16:35;79;0;21;42;50;1.000000
2479;18:1;77;0;21;42;50;1.000000
2564;19:27;78;0;21;42;50;1.000000
2659;21:4;78;0;21;42;50;1.000000
2744;22:30;78;0;21;42;50;1.000000
2839;0:7;77;0;21;42;50;1.000000
2923;1:32;77;0;21;42;50;1.000000
3004;2:54;77;0;21;42;50;1.000000
3119;4:51;74;0;21;42;50;1.000000
3213;6:27;75;0;21;42;50;1.000000
3306;8:2;76;0;21;42;50;1.000000
3391;9:28;78;0;21;42;50;1.000000
3476;10:54;78;0;21;42;50;1.000000
3563;12:23;78;0;21;42;50;1.000000
3647;13:48;78;0;21;42;50;1.000000
3726;15:9;76;0;21;42;50;1.000000
3807;16:31;77;0;21;42;50;1.000000
3901;18:7;76;0;21;42;50;1.000000
3985;19:32;77;0;21;42;50;1.000000
4066;20:54;77;0;21;42;50;1.000000
4150;22:20;75;0;21;42;50;1.000000
4232;23:43;75;0;21;42;50;1.000000
4322;1:15;75;0;21;42;50;1.000000
4406;2:40;77;0;21;42;50;1.000000
4497;4:13;76;0;21;42;50;1.000000
4630;6:28;77;0;21;42;50;1.000000
4714;7:53;76;0;21;42;50;1.000000
4794;9:15;76;0;21;42;50;1.000000
4874;10:36;77;0;21;42;50;1.000000
4954;11:57;77;0;21;42;50;1.000000
5041;13:26;77;0;21;42;50;1.000000
