Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;60;1.000000
0;0:0;0;0;0;0;60;0.000000
224;3:47;217;0;61;62;60;1.000000
461;7:48;213;0;61;61;60;1.000000
695;11:46;214;0;61;61;60;1.000000
934;15:49;219;0;61;62;60;1.000000
1171;19:50;220;0;61;61;60;1.000000
1396;23:39;218;0;61;62;60;1.000000
1621;3:28;211;0;61;62;60;1.000000
1866;7:37;219;0;61;62;60;1.000000
2111;11:46;220;0;61;61;60;1.000000
2333;15:32;218;0;61;61;60;1.000000
2552;19:15;215;0;61;61;60;1.000000
2781;23:8;216;0;61;61;60;1.000000
3019;3:10;217;0;61;61;60;1.000000
3264;7:19;220;0;61;61;60;1.000000
3488;11:7;220;0;61;61;60;1.000000
3705;14:47;210;0;61;61;60;1.000000
3946;18:52;221;0;61;61;60;1.000000
4171;22:41;218;0;61;61;60;1.000000
4393;2:27;219;0;61;61;60;1.000000
4705;7:44;213;0;61;61;60;1.000000
4943;11:46;215;0;61;61;60;1.000000
5157;15:24;207;0;61;61;60;1.000000
5378;19:9;217;0;61;61;60;1.000000
5556;22:10;168;0;61;62;60;1.000000
5769;1:46;210;0;61;62;60;1.000000
6011;5:52;209;0;61;62;60;1.000000
6278;10:24;224;0;61;62;60;1.000000
6514;14:24;221;0;61;62;60;1.000000
6745;18:19;219;0;61;62;60;1.000000
6882;20:38;133;0;61;63;60;1.000000
7089;0:9;180;0;61;62;60;1.000000
7324;4:8;204;0;61;62;60;1.000000
7547;7:54;206;0;61;62;60;1.000000
7769;11:40;216;0;61;62;60;1.000000
7992;15:27;216;0;61;62;60;1.000000
8211;19:10;215;0;61;62;60;1.000000
8441;23:4;216;0;61;62;60;1.000000
8673;2:59;214;0;61;62;60;1.000000
8955;7:46;217;0;61;62;60;1.000000
9181;11:36;215;0;61;62;60;1.000000
9405;15:24;217;0;61;62;60;1.000000
9632;19:15;213;0;61;62;60;1.000000
9856;23:3;217;0;61;62;60;1.000000
10084;2:54;218;0;61;62;60;1.000000
10355;7:30;216;0;61;62;60;1.000000
10604;11:43;217;0;61;62;60;1.000000
10821;15:24;214;0;61;62;60;1.000000
11044;19:11;216;0;61;62;60;1.000000
11266;22:56;219;0;61;62;60;1.000000
11509;3:4;216;0;61;62;60;1.000000
11755;7:14;210;0;61;62;60;1.000000
11982;11:5;216;0;61;62;60;1.000000
12216;15:3;220;0;61;62;60;1.000000
12436;18:46;217;0;61;62;60;1.000000
12660;22:34;217;0;61;62;60;1.000000
12910;2:48;215;0;61;62;60;1.000000
13153;6:55;219;0;61;62;60;1.000000
13397;11:4;216;0;61;62;60;1.000000
13628;14:58;217;0;61;62;60;1.000000
13849;18:43;215;0;61;62;60;1.000000
14069;22:27;216;0;61;62;60;1.000000
14292;2:14;215;0;61;62;60;1.000000
14513;5:58;218;0;61;62;60;1.000000
14761;10:11;218;0;61;62;60;1.000000
14996;14:10;213;0;61;62;60;1.000000
15217;17:54;217;0;61;62;60;1.000000
15436;21:37;216;0;61;62;60;1.000000
15693;1:58;216;0;61;62;60;1.000000
15946;6:16;214;0;61;62;60;1.000000
16238;11:13;215;0;61;62;60;1.000000
16462;15:1;217;0;61;62;60;1.000000
16682;18:44;217;0;61;62;60;1.000000
16901;22:27;216;0;61;62;60;1.000000
17122;2:12;214;0;61;62;60;1.000000
17348;6:2;215;0;61;62;60;1.000000
17577;9:54;216;0;61;62;60;1.000000
17803;13:44;216;0;61;62;60;1.000000
18029;17:34;212;0;61;62;60;1.000000
18248;21:17;216;0;61;62;60;1.000000
18485;1:18;216;0;61;62;60;1.000000
18732;5:29;216;0;61;62;60;1.000000
18965;9:26;215;0;61;62;60;1.000000
19206;13:31;214;0;61;62;60;1.000000
19425;17:14;216;0;61;62;60;1.000000
19645;20:57;216;0;61;62;60;1.000000
19940;1:57;216;0;61;62;60;1.000000
20190;6:12;212;0;61;62;60;1.000000
20416;10:2;215;0;61;62;60;1.000000
20636;13:45;213;0;61;62;60;1.000000
20863;17:36;213;0;61;62;60;1.000000
21080;21:17;210;0;61;62;60;1.000000
21317;1:18;213;0;61;62;60;1.000000
21543;5:8;216;0;61;62;60;1.000000
21766;8:54;216;0;61;62;60;1.000000
21984;12:36;214;0;61;62;60;1.000000
22204;16:20;213;0;61;62;60;1.000000
22428;20:8;217;0;61;62;60;1.000000
22647;23:50;216;0;61;62;60;1.000000
22887;3:54;216;0;61;62;60;1.000000
23104;7:35;214;0;61;62;60;1.000000
23340;11:35;212;0;61;62;60;1.000000
23573;15:32;215;0;61;62;60;1.000000
23799;19:22;215;0;61;62;60;1.000000
24017;23:4;215;0;61;62;60;1.000000
24335;4:27;211;0;61;62;60;1.000000
24571;8:27;215;0;61;62;60;1.000000
24804;12:24;215;0;61;62;60;1.000000
25025;16:9;214;0;61;62;60;1.000000
25243;19:50;214;0;61;62;60;1.000000
25457;23:28;211;0;61;62;60;1.000000
25763;4:39;216;0;61;62;60;1.000000
25995;8:35;214;0;61;62;60;1.000000
26218;12:22;215;0;61;62;60;1.000000
26437;16:5;212;0;61;62;60;1.000000
26653;19:44;212;0;61;62;60;1.000000
26870;23:25;214;0;61;62;60;1.000000
27109;3:28;207;0;61;61;60;1.000000
27341;7:24;208;0;61;61;60;1.000000
27598;11:45;216;0;61;61;60;1.000000
