ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000;
3;0.000000;0.000000;510.000000;0.000000;0;0.000000;
7;0.000000;0.000000;510.000000;0.000000;0;0.000000;
11;0.000000;0.000000;510.000000;1.782000;1;0.811800;gr_sensing_SM_con03,
14;0.000000;0.030000;509.970000;1.782000;1;0.811800;gr_sensing_SM_con03,
18;0.000000;0.030000;509.940000;1.782000;1;0.811800;gr_sensing_SM_con03,
21;0.000000;0.030000;509.910000;1.782000;1;0.811800;gr_sensing_SM_con03,
25;0.000000;0.030000;509.880000;1.782000;1;0.811800;gr_sensing_SM_con03,
28;0.000000;0.030000;509.850000;1.782000;1;0.811800;gr_sensing_SM_con03,
32;0.000000;0.030000;509.820000;1.782000;1;0.811800;gr_sensing_SM_con03,
35;0.000000;0.030000;509.790000;1.782000;1;0.811800;gr_sensing_SM_con03,
39;0.000000;0.030000;509.760000;1.782000;1;0.811800;gr_sensing_SM_con03,
42;0.000000;0.030000;509.730000;1.782000;1;0.811800;gr_sensing_SM_con03,
46;0.000000;0.030000;509.700000;1.782000;1;0.811800;gr_sensing_SM_con03,
49;0.000000;0.030000;509.670000;1.782000;1;0.811800;gr_sensing_SM_con03,
53;0.000000;0.030000;509.640000;1.782000;1;0.811800;gr_sensing_SM_con03,
56;0.000000;0.030000;509.610000;1.782000;1;0.811800;gr_sensing_SM_con03,
59;0.000000;0.030000;509.580000;1.782000;1;0.811800;gr_sensing_SM_con03,
62;0.000000;0.030000;509.550000;1.782000;1;0.811800;gr_sensing_SM_con03,
66;0.000000;0.030000;509.520000;1.782000;1;0.811800;gr_sensing_SM_con03,
69;0.000000;0.030000;509.490000;1.782000;1;0.811800;gr_sensing_SM_con03,
73;0.000000;0.030000;509.460000;1.782000;1;0.811800;gr_sensing_SM_con03,
77;0.000000;0.030000;509.430000;1.782000;1;0.811800;gr_sensing_SM_con03,
80;0.000000;0.030000;509.400000;1.782000;1;0.811800;gr_sensing_SM_con03,
