ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
3;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
7;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
11;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
14;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
18;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
21;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
24;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
28;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
31;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
35;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
38;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
42;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
45;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
49;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
53;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
56;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
59;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
62;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
66;0.000000;0.000000;2500.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
69;0.000000;0.500000;2499.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
73;0.000000;0.500000;2499.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
76;0.000000;0.500000;2498.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
80;0.000000;0.500000;2498.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
83;0.000000;0.500000;2497.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
87;0.000000;0.500000;2497.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
90;0.000000;0.500000;2496.500000;3.700000;1;1.200000;gr_sensing_LC_con02,
94;0.000000;0.500000;2496.000000;3.700000;1;1.200000;gr_sensing_LC_con02,
