ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000
4;0.000000;0.000000;510.000000;0.000000;0;0.000000
8;0.000000;0.000000;510.000000;0.000000;0;0.000000
12;0.000000;0.000000;510.000000;0.000000;0;0.000000
17;0.000000;0.000000;510.000000;0.000000;0;0.000000
21;0.000000;0.000000;510.000000;0.000000;0;0.000000
25;0.000000;0.000000;510.000000;0.000000;0;0.000000
29;0.000000;0.000000;510.000000;0.000000;0;0.000000
34;0.000000;0.000000;510.000000;0.000000;0;0.000000
38;0.000000;0.000000;510.000000;0.000000;0;0.000000
42;0.000000;0.000000;510.000000;0.000000;0;0.000000
46;0.000000;0.000000;510.000000;0.000000;0;0.000000
51;0.000000;0.000000;510.000000;4.650000;1;0.155000
55;0.000000;0.150000;509.850000;4.650000;1;0.155000
59;0.000000;0.150000;509.700000;4.650000;1;0.155000
62;0.000000;0.150000;509.550000;4.650000;1;0.155000
67;0.000000;0.150000;509.400000;4.650000;1;0.155000
71;0.000000;0.150000;509.250000;6.750000;1;0.181915
75;0.000000;0.150000;509.100000;6.750000;1;0.181915
79;0.000000;0.150000;508.950000;6.750000;1;0.181915
84;0.000000;0.150000;508.800000;6.750000;1;0.181915
88;0.000000;0.150000;508.650000;6.750000;1;0.181915
92;0.000000;0.150000;508.500000;6.750000;1;0.181915
96;0.000000;0.150000;508.350000;5.250000;1;0.082353
101;0.000000;0.150000;508.200000;5.250000;1;0.082353
105;0.000000;0.150000;508.050000;5.250000;1;0.082353
110;0.000000;0.150000;507.900000;5.250000;1;0.082353
115;0.000000;0.150000;507.750000;5.250000;1;0.082353
118;0.000000;0.150000;507.600000;5.250000;1;0.082353
123;0.000000;0.150000;507.450000;5.250000;1;0.082353
127;0.000000;0.150000;507.300000;5.250000;1;0.082353
132;0.000000;0.150000;507.150000;5.250000;1;0.082353
136;0.000000;0.150000;507.000000;5.250000;1;0.082353
141;0.000000;0.150000;506.850000;5.250000;1;0.082353
146;0.000000;0.150000;506.700000;0.000000;1;-0.547445
150;0.000000;0.000000;506.700000;0.000000;1;-0.547445
155;0.000000;0.000000;506.700000;0.000000;1;-0.547445
160;0.000000;0.000000;506.700000;0.000000;1;-0.547445
164;0.000000;0.000000;506.700000;0.000000;1;-0.547445
169;0.000000;0.000000;506.700000;0.000000;1;-0.119403
174;0.000000;0.000000;506.700000;0.000000;1;-0.119403
177;0.000000;0.000000;506.700000;0.000000;1;-0.119403
182;0.000000;0.000000;506.700000;0.000000;1;-0.119403
187;0.000000;0.000000;506.700000;0.000000;1;-0.119403
191;0.000000;0.000000;506.700000;0.000000;1;-0.119403
196;0.000000;0.000000;506.700000;0.000000;1;-0.582090
200;0.000000;0.000000;506.700000;0.000000;1;-0.582090
204;0.000000;0.000000;506.700000;0.000000;1;-0.582090
209;0.000000;0.000000;506.700000;0.000000;1;-0.582090
213;0.000000;0.000000;506.700000;0.000000;1;-0.582090
217;0.000000;0.000000;506.700000;0.000000;1;-0.044776
222;0.000000;0.000000;506.700000;0.000000;1;-0.044776
