Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;45;1.000000
0;0:0;0;0;0;0;45;0.000000
172;2:54;17;0;5;60;45;1.000000
270;4:34;18;0;5;60;45;1.000000
351;5:56;17;0;5;60;45;1.000000
406;6:52;17;0;5;45;45;1.000000
453;7:40;18;0;5;60;45;1.000000
491;8:19;18;0;5;60;45;1.000000
529;8:57;17;0;5;60;45;1.000000
584;9:53;17;0;5;60;45;1.000000
622;10:32;17;0;5;60;45;1.000000
659;11:10;15;0;5;45;45;1.000000
697;11:48;18;0;5;60;45;1.000000
735;12:27;18;0;5;60;45;1.000000
768;13:1;16;0;5;45;45;1.000000
811;13:44;17;0;5;45;45;1.000000
846;14:20;18;0;5;45;45;1.000000
885;14:59;17;0;5;30;45;1.000000
936;15:51;17;0;5;30;45;1.000000
982;16:38;17;0;5;45;45;1.000000
1015;17:12;16;0;5;45;45;1.000000
1050;17:47;17;0;5;45;45;1.000000
1089;18:27;18;0;5;30;45;1.000000
1128;19:7;17;0;5;30;45;1.100000
1177;19:56;18;0;5;30;45;1.000000
1283;21:44;17;0;5;45;45;1.000000
1321;22:23;17;0;5;0;45;1.100000
1414;23:57;17;0;5;0;45;1.100000
1448;0:32;17;0;5;30;45;1.000000
1545;2:11;16;0;5;0;45;1.100000
1652;3:59;17;0;5;0;45;1.100000
1723;5:12;16;0;5;0;45;1.100000
1762;5:51;17;0;5;0;45;1.100000
1829;7:0;16;0;5;30;45;1.000000
1910;8:22;17;0;5;0;45;1.100000
1945;8:57;17;0;5;0;45;1.100000
1983;9:36;17;0;5;30;45;1.000000
2016;10:10;16;0;5;0;45;1.100000
2059;10:53;17;0;5;30;45;1.000000
2097;11:32;18;0;5;0;45;1.100000
2143;12:19;17;0;5;30;45;1.000000
2178;12:54;18;0;5;30;45;1.000000
2223;13:40;17;0;5;45;45;1.000000
2269;14:27;17;0;5;30;45;1.000000
2310;15:9;16;0;5;30;45;1.000000
2345;15:44;17;0;5;30;45;1.000000
2404;16:44;17;0;5;30;45;1.000000
2446;17:27;17;0;5;30;45;1.000000
2506;18:28;18;0;5;30;45;1.000000
2554;19:17;18;0;5;45;45;1.000000
2589;19:52;18;0;5;45;45;1.000000
2748;22:34;17;0;5;30;45;1.000000
2790;23:17;17;0;5;30;45;1.000000
2936;1:45;17;0;5;30;45;1.000000
2968;2:18;18;0;5;30;45;1.000000
3002;2:52;17;0;5;30;45;1.000000
3036;3:27;17;0;5;30;45;1.000000
3083;4:15;17;0;5;45;45;1.000000
3134;5:7;17;0;5;45;45;1.000000
3173;5:46;18;0;5;0;45;1.100000
3224;6:38;18;0;5;30;45;1.000000
3321;8:17;16;0;5;45;45;1.000000
3368;9:5;16;0;5;0;45;1.100000
3400;9:37;18;0;5;30;45;1.000000
3465;10:43;18;0;5;45;45;1.000000
3498;11:17;17;0;5;45;45;1.000000
3533;11:52;17;0;5;45;45;1.000000
3575;12:35;17;0;5;45;45;1.000000
3609;13:10;17;0;5;45;45;1.000000
3643;13:44;17;0;5;45;45;1.000000
3681;14:23;17;0;5;30;45;1.000000
3719;15:2;16;0;5;45;45;1.000000
3754;15:37;17;0;5;45;45;1.000000
3792;16:16;16;0;5;30;45;1.000000
3831;16:55;17;0;5;45;45;1.000000
3873;17:38;17;0;5;45;45;1.000000
3929;18:35;18;0;5;30;45;1.000000
3963;19:10;17;0;5;30;45;1.000000
4002;19:49;17;0;5;45;45;1.000000
4040;20:28;17;0;5;30;45;1.000000
4137;22:7;15;0;5;45;45;1.000000
4166;22:36;16;0;5;45;45;1.000000
4311;1:4;17;0;5;0;45;1.100000
4498;4:14;16;0;5;45;45;1.000000
4584;5:41;18;0;5;0;45;1.100000
4723;8:3;16;0;5;30;45;1.000000
4766;8:46;18;0;5;0;45;1.100000
4799;9:20;17;0;5;30;45;1.000000
4834;9:55;18;0;5;30;45;1.000000
4867;10:29;17;0;5;30;45;1.000000
4913;11:16;17;0;5;45;45;1.000000
4947;11:50;17;0;5;45;45;1.000000
4982;12:26;18;0;5;45;45;1.000000
5034;13:19;18;0;5;45;45;1.000000
5073;13:58;17;0;5;30;45;1.000000
5112;14:38;18;0;5;45;45;1.000000
5146;15:13;17;0;5;45;45;1.000000
5189;15:56;17;0;5;45;45;1.000000
5245;16:53;18;0;5;30;45;1.000000
5288;17:37;18;0;5;30;45;1.000000
5322;18:12;17;0;5;30;45;1.000000
5358;18:48;18;0;5;30;45;1.000000
5392;19:23;18;0;5;30;45;1.000000
5477;20:49;17;0;5;30;45;1.000000
5515;21:28;17;0;5;45;45;1.000000
5562;22:16;16;0;5;30;45;1.000000
5664;0:0;16;0;5;30;45;1.000000
5832;2:50;18;0;5;30;45;1.000000
5935;4:35;18;0;5;45;45;1.000000
5997;5:38;17;0;5;45;45;1.000000
6061;6:43;17;0;5;0;45;1.100000
6116;7:39;18;0;5;0;45;1.100000
6157;8:21;17;0;5;45;45;1.000000
6206;9:11;17;0;5;30;45;1.000000
6247;9:52;18;0;5;45;45;1.000000
6282;10:28;18;0;5;45;45;1.000000
6317;11:4;17;0;5;45;45;1.000000
6372;11:59;19;0;5;45;45;1.000000
6408;12:36;19;0;5;45;45;1.000000
6443;13:12;17;0;5;45;45;1.000000
6480;13:49;19;0;5;45;45;1.000000
6520;14:30;18;0;5;30;45;1.000000
6574;15:25;18;0;5;30;45;1.000000
6614;16:6;17;0;5;45;45;1.000000
6655;16:47;19;0;5;30;45;1.000000
6690;17:23;18;0;5;30;45;1.000000
6726;17:59;18;0;5;30;45;1.000000
6776;18:50;19;0;5;45;45;1.000000
6811;19:26;18;0;5;45;45;1.000000
6861;20:17;18;0;5;30;45;1.000000
6938;21:35;19;0;5;45;45;1.000000
6987;22:25;18;0;5;30;45;1.000000
7073;23:52;18;0;5;45;45;1.000000
7166;1:27;18;0;5;0;45;1.100000
7234;2:36;18;0;5;0;45;1.100000
7407;5:32;17;0;5;0;45;1.100000
7476;6:42;17;0;5;45;45;1.000000
7529;7:36;18;0;5;0;45;1.100000
7579;8:27;18;0;5;30;45;1.000000
7619;9:8;17;0;5;0;45;1.100000
7655;9:44;18;0;5;45;45;1.000000
7691;10:21;18;0;5;45;45;1.000000
7749;11:20;18;0;5;30;45;1.000000
7789;12:1;17;0;5;45;45;1.000000
7830;12:42;18;0;5;30;45;1.000000
7870;13:23;18;0;5;45;45;1.000000
7906;14:0;17;0;5;45;45;1.000000
7943;14:37;19;0;5;45;45;1.000000
7983;15:18;18;0;5;30;45;1.000000
8019;15:54;18;0;5;30;45;1.000000
8068;16:44;18;0;5;45;45;1.000000
8104;17:21;18;0;5;45;45;1.000000
8144;18:2;17;0;5;30;45;1.000000
8207;19:6;17;0;5;30;45;1.000000
8248;19:47;18;0;5;45;45;1.000000
8351;21:32;18;0;5;30;45;1.000000
8509;0:13;18;0;5;30;45;1.000000
8575;1:20;18;0;5;45;45;1.000000
8627;2:13;16;0;5;45;45;1.000000
8722;3:49;17;0;5;0;45;1.100000
8755;4:23;17;0;5;0;45;1.100000
8849;5:58;18;0;5;0;45;1.100000
8912;7:3;17;0;5;0;45;1.100000
8967;7:58;19;0;5;45;45;1.000000
9002;8:34;18;0;5;45;45;1.000000
9042;9:15;17;0;5;30;45;1.000000
9096;10:10;17;0;5;30;45;1.000000
9137;10:51;18;0;5;45;45;1.000000
9178;11:33;19;0;5;30;45;1.000000
9227;12:23;18;0;5;45;45;1.000000
9267;13:4;17;0;5;30;45;1.000000
9313;13:50;18;0;5;30;45;1.000000
9349;14:27;19;0;5;30;45;1.000000
9393;15:12;17;0;5;30;45;1.000000
9452;16:12;18;0;5;45;45;1.000000
9510;17:11;17;0;5;30;45;1.000000
9547;17:48;19;0;5;30;45;1.000000
9591;18:33;18;0;5;30;45;1.000000
9627;19:10;17;0;5;30;45;1.000000
9664;19:47;19;0;5;30;45;1.000000
9717;20:41;18;0;5;30;45;1.000000
9761;21:26;18;0;5;30;45;1.000000
9842;22:48;18;0;5;30;45;1.000000
9882;23:29;18;0;5;45;45;1.000000
10035;2:5;16;0;5;30;45;1.000000
10089;3:0;16;0;5;45;45;1.000000
10148;4:0;16;0;5;45;45;1.000000
10301;6:35;18;0;5;45;45;1.000000
10372;7:47;18;0;5;45;45;1.000000
10424;8:40;18;0;5;0;45;1.100000
10463;9:20;18;0;5;30;45;1.000000
10524;10:22;17;0;5;30;45;1.000000
10560;10:58;18;0;5;30;45;1.000000
10596;11:35;19;0;5;30;45;1.000000
10631;12:11;18;0;5;30;45;1.000000
10667;12:47;18;0;5;30;45;1.000000
10715;13:36;18;0;5;45;45;1.000000
10759;14:21;18;0;5;45;45;1.000000
10795;14:57;18;0;5;45;45;1.000000
10835;15:38;18;0;5;30;45;1.000000
10897;16:41;18;0;5;30;45;1.000000
10945;17:30;18;0;5;45;45;1.000000
10980;18:6;17;0;5;45;45;1.000000
11016;18:42;18;0;5;45;45;1.000000
11052;19:19;18;0;5;45;45;1.000000
11088;19:55;18;0;5;45;45;1.000000
11136;20:44;18;0;5;30;45;1.000000
11247;22:37;18;0;5;45;45;1.000000
11304;23:35;18;0;5;30;45;1.000000
11384;0:56;17;0;5;45;45;1.000000
11443;1:56;17;0;5;45;45;1.000000
11502;2:56;17;0;5;0;45;1.100000
11564;3:59;18;0;5;0;45;1.100000
11613;4:49;18;0;5;0;45;1.100000
