ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
5;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
9;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
14;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
18;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
23;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
27;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
31;0.000000;0.000000;5000.000000;0.000000;0;0.000000;
36;0.000000;0.000000;5000.000000;17.850000;1;0.987700;gr_sensing_SM_con03,
40;0.000000;0.060000;4999.940000;17.850000;1;0.987700;gr_sensing_SM_con03,
44;0.000000;0.060000;4999.880000;17.850000;1;0.987700;gr_sensing_SM_con03,
49;0.000000;0.060000;4999.820000;17.850000;1;0.987700;gr_sensing_SM_con03,
53;0.000000;0.060000;4999.760000;17.850000;1;0.987700;gr_sensing_SM_con03,
57;0.000000;0.060000;4999.700000;17.850000;1;0.987700;gr_sensing_SM_con03,
61;0.000000;0.060000;4999.640000;17.850000;1;0.987700;gr_sensing_SM_con03,
65;0.000000;0.060000;4999.580000;17.850000;1;0.987700;gr_sensing_SM_con03,
69;0.000000;0.060000;4999.520000;17.850000;1;0.987700;gr_sensing_SM_con03,
74;0.000000;0.060000;4999.460000;17.850000;1;0.987700;gr_sensing_SM_con03,
78;0.000000;0.060000;4999.400000;17.850000;1;0.987700;gr_sensing_SM_con03,
82;0.000000;0.060000;4999.340000;17.850000;1;0.987700;gr_sensing_SM_con03,
87;0.000000;0.060000;4999.280000;17.850000;1;0.987700;gr_sensing_SM_con03,
91;0.000000;0.060000;4999.220000;17.850000;1;0.987700;gr_sensing_SM_con03,
96;0.000000;0.060000;4999.160000;17.850000;1;0.987700;gr_sensing_SM_con03,
100;0.000000;0.060000;4999.100000;17.850000;1;0.987700;gr_sensing_SM_con03,
104;0.000000;0.060000;4999.040000;0.000000;0;0.000000;
109;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
113;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
117;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
121;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
125;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
129;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
134;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
138;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
142;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
147;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
151;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
155;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
160;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
164;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
168;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
172;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
177;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
180;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
184;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
189;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
193;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
197;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
202;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
206;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
210;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
215;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
219;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
223;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
228;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
232;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
236;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
240;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
244;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
248;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
253;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
257;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
261;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
266;0.000000;0.000000;4999.040000;0.000000;0;0.000000;
